import time: self [us] | cumulative | imported package
import time:       332 |        332 |             torch.linalg
import time:       280 |        280 |               torch.mps.profiler
import time:       206 |        206 |               torch.mps.event
import time:       145 |        630 |             torch.mps
import time:       143 |        143 |               torch._environment
import time:       238 |        238 |               torch.mtia._utils
import time:       199 |        199 |               torch.mtia.memory
import time:       193 |        193 |               torch.mtia.mtia_graph
import time:       335 |       1108 |             torch.mtia
import time:       309 |        309 |                 multiprocessing.util
import time:       219 |        219 |                 multiprocessing.resource_sharer
import time:       558 |       1085 |               torch.multiprocessing.reductions
import time:      1410 |       1410 |                   _multiprocessing
import time:        31 |         31 |                   _winapi
import time:       529 |       1969 |                 multiprocessing.connection
import time:       268 |       2236 |               torch.multiprocessing.spawn
import time:        74 |         74 |                   runpy
import time:       223 |        296 |                 multiprocessing.spawn
import time:      1526 |       1526 |                 _posixshmem
import time:       282 |       2104 |               multiprocessing.resource_tracker
import time:       221 |       5645 |             torch.multiprocessing
import time:       189 |        189 |                 torch.nested._internal
import time:       198 |        198 |                           torch.fx._compatibility
import time:       275 |        473 |                         torch.fx.immutable_collections
import time:       168 |        168 |                               torch.fx.experimental
import time:       867 |        867 |                               torch.fx.experimental._config
import time:       104 |        104 |                                 torch.utils._dtype_abbrs
import time:       302 |        302 |                                   torch.return_types
import time:       213 |        514 |                                 torch.fx._pytree
import time:       177 |        177 |                                     torch.utils._inspect
import time:       580 |        756 |                                   torch.fx.operator_schemas
import time:      3252 |       4008 |                                 torch.fx.node
import time:      1852 |       6476 |                               torch.fx.graph
import time:       526 |       8035 |                             torch.fx.graph_module
import time:       239 |       8274 |                           torch.fx._lazy_graph_module
import time:       583 |        583 |                             torch.fx.traceback
import time:       283 |        283 |                                   pkgutil
import time:       205 |        205 |                                   torch._logging.structured
import time:       997 |        997 |                                     unittest.mock
import time:      1312 |       1312 |                                     torch.utils._ordered_set
import time:       300 |        300 |                                     torch.utils._traceback
import time:       305 |        305 |                                     torch.utils.weak
import time:      3876 |       6789 |                                   torch._guards
import time:       997 |       8272 |                                 torch._logging._internal
import time:       338 |       8610 |                               torch._logging._registrations
import time:       139 |       8749 |                             torch._logging
import time:       623 |       9954 |                           torch.fx.proxy
import time:       648 |      18876 |                         torch.fx._symbolic_trace
import time:        96 |         96 |                           torch.fx.config
import time:       482 |        577 |                         torch.fx.interpreter
import time:       813 |        813 |                         torch.fx.subgraph_rewriter
import time:       111 |      20849 |                       torch.fx
import time:        11 |      20860 |                     torch.fx.experimental
import time:       251 |      21110 |                   torch.fx.experimental._constant_symnode
import time:       134 |      21243 |                 torch.nested._internal.nested_int
import time:       424 |      21856 |               torch.nested._internal.nested_tensor
import time:       289 |      22145 |             torch.nested
import time:       441 |        441 |                 torch.optim.optimizer
import time:       699 |       1139 |               torch.optim.lr_scheduler
import time:       333 |        333 |               torch.optim.swa_utils
import time:       354 |        354 |               torch.optim._adafactor
import time:       279 |        279 |               torch.optim._muon
import time:       289 |        289 |               torch.optim.adadelta
import time:       281 |        281 |               torch.optim.adagrad
import time:       381 |        381 |               torch.optim.adam
import time:       255 |        255 |               torch.optim.adamax
import time:       221 |        221 |               torch.optim.adamw
import time:       259 |        259 |               torch.optim.asgd
import time:       362 |        362 |               torch.optim.lbfgs
import time:       267 |        267 |               torch.optim.nadam
import time:       292 |        292 |               torch.optim.radam
import time:       185 |        185 |               torch.optim.rmsprop
import time:       294 |        294 |               torch.optim.rprop
import time:       139 |        139 |               torch.optim.sgd
import time:       184 |        184 |                 torch.optim._functional
import time:       282 |        466 |               torch.optim.sparse_adam
import time:       179 |       5967 |             torch.optim
import time:       360 |        360 |                 gzip
import time:      1131 |       1131 |                   torch.profiler._utils
import time:      1675 |       2805 |                 torch.profiler._memory_profiler
import time:       734 |       3899 |               torch.profiler.profiler
import time:       131 |        131 |               torch.profiler.itt
import time:       177 |       4205 |             torch.profiler
import time:       327 |        327 |             torch.special
import time:       158 |        158 |               torch.xpu._utils
import time:       312 |        312 |               torch.xpu.graphs
import time:       278 |        278 |               torch.xpu.streams
import time:       452 |        452 |               torch.xpu.memory
import time:       247 |        247 |               torch.xpu.random
import time:       379 |       1824 |             torch.xpu
import time:       326 |        326 |                 torch.signal.windows.windows
import time:       125 |        450 |               torch.signal.windows
import time:        95 |        545 |             torch.signal
import time:        82 |         82 |             torch.ao
import time:       116 |        116 |                 torch.ao.nn
import time:       342 |        342 |                   torch.ao.nn.intrinsic.modules.fused
import time:       124 |        466 |                 torch.ao.nn.intrinsic.modules
import time:       124 |        704 |               torch.ao.nn.intrinsic
import time:       109 |        109 |                 torch.nn.intrinsic.modules.fused
import time:       121 |        230 |               torch.nn.intrinsic.modules
import time:       314 |        314 |                               torch.ao.nn.qat.modules.conv
import time:       208 |        208 |                               torch.ao.nn.qat.modules.embedding_ops
import time:       223 |        223 |                               torch.ao.nn.qat.modules.linear
import time:       184 |        927 |                             torch.ao.nn.qat.modules
import time:       100 |       1027 |                           torch.ao.nn.qat
import time:       418 |       1444 |                         torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       204 |        204 |                         torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       235 |        235 |                         torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       125 |       2006 |                       torch.ao.nn.intrinsic.qat.modules
import time:        91 |       2097 |                     torch.ao.nn.intrinsic.qat
import time:       482 |       2578 |                   torch.nn.intrinsic.qat.modules.conv_fused
import time:        79 |         79 |                   torch.nn.intrinsic.qat.modules.linear_fused
import time:        70 |         70 |                   torch.nn.intrinsic.qat.modules.linear_relu
import time:       196 |       2922 |                 torch.nn.intrinsic.qat.modules
import time:       181 |       3102 |               torch.nn.intrinsic.qat
import time:       447 |        447 |                                           torch.ao.nn.quantizable.modules.activation
import time:       286 |        286 |                                           torch.ao.nn.quantizable.modules.rnn
import time:       120 |        852 |                                         torch.ao.nn.quantizable.modules
import time:        78 |        930 |                                       torch.ao.nn.quantizable
import time:       401 |        401 |                                       torch.ao.nn.quantized.modules.activation
import time:       267 |        267 |                                       torch.ao.nn.quantized.modules.batchnorm
import time:       252 |        252 |                                         torch.ao.nn.quantized.modules.utils
import time:       419 |        671 |                                       torch.ao.nn.quantized.modules.conv
import time:       248 |        248 |                                       torch.ao.nn.quantized.modules.dropout
import time:       228 |        228 |                                       torch.ao.nn.quantized.modules.embedding_ops
import time:       255 |        255 |                                       torch.ao.nn.quantized.modules.functional_modules
import time:       255 |        255 |                                       torch.ao.nn.quantized.modules.linear
import time:       276 |        276 |                                       torch.ao.nn.quantized.modules.normalization
import time:       105 |        105 |                                       torch.ao.nn.quantized.modules.rnn
import time:       282 |       3912 |                                     torch.ao.nn.quantized.modules
import time:         9 |       3920 |                                   torch.ao.nn.quantized.modules.utils
import time:       290 |       4210 |                                 torch.ao.nn.quantized.functional
import time:        94 |       4303 |                               torch.ao.nn.quantized
import time:       316 |       4618 |                             torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       301 |        301 |                             torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       258 |        258 |                             torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       287 |        287 |                             torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       140 |       5602 |                           torch.ao.nn.intrinsic.quantized.modules
import time:        75 |       5676 |                         torch.ao.nn.intrinsic.quantized
import time:       363 |        363 |                                 torch.ao.nn.quantized.dynamic.modules.conv
import time:       241 |        241 |                                 torch.ao.nn.quantized.dynamic.modules.linear
import time:       478 |        478 |                                 torch.ao.nn.quantized.dynamic.modules.rnn
import time:       241 |       1322 |                               torch.ao.nn.quantized.dynamic.modules
import time:        98 |       1419 |                             torch.ao.nn.quantized.dynamic
import time:       322 |       1740 |                           torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       224 |       1963 |                         torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       203 |       7842 |                       torch.ao.nn.intrinsic.quantized.dynamic
import time:       108 |       7950 |                     torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       115 |       8064 |                   torch.nn.intrinsic.quantized.dynamic.modules
import time:       111 |       8175 |                 torch.nn.intrinsic.quantized.dynamic
import time:       118 |        118 |                   torch.nn.intrinsic.quantized.modules.bn_relu
import time:       216 |        216 |                   torch.nn.intrinsic.quantized.modules.conv_relu
import time:       608 |        608 |                   torch.nn.intrinsic.quantized.modules.linear_relu
import time:       244 |       1184 |                 torch.nn.intrinsic.quantized.modules
import time:        97 |       9455 |               torch.nn.intrinsic.quantized
import time:       107 |      13597 |             torch.nn.intrinsic
import time:       249 |        249 |                             torch.ao.nn.qat.dynamic.modules.linear
import time:       110 |        359 |                           torch.ao.nn.qat.dynamic.modules
import time:        75 |        433 |                         torch.ao.nn.qat.dynamic
import time:         8 |        441 |                       torch.ao.nn.qat.dynamic.modules
import time:         9 |        449 |                     torch.ao.nn.qat.dynamic.modules.linear
import time:       119 |        568 |                   torch.nn.qat.dynamic.modules.linear
import time:       119 |        686 |                 torch.nn.qat.dynamic.modules
import time:       115 |        800 |               torch.nn.qat.dynamic
import time:       107 |        107 |                 torch.nn.qat.modules.conv
import time:        70 |         70 |                 torch.nn.qat.modules.embedding_ops
import time:        74 |         74 |                 torch.nn.qat.modules.linear
import time:       100 |        349 |               torch.nn.qat.modules
import time:       200 |       1349 |             torch.nn.qat
import time:       106 |        106 |               torch.nn.quantizable.modules
import time:        76 |        182 |             torch.nn.quantizable
import time:       210 |        210 |               torch.nn.quantized.dynamic
import time:       192 |        192 |               torch.nn.quantized.functional
import time:       445 |        445 |               torch.nn.quantized.modules
import time:       104 |        950 |             torch.nn.quantized
import time:        84 |         84 |             torch._size_docs
import time:        78 |         78 |             torch._storage_docs
import time:       578 |        578 |             torch._tensor_docs
import time:       178 |        178 |                           torch.ao.quantization.quant_type
import time:       321 |        498 |                         torch.ao.quantization.utils
import time:      1519 |       2017 |                       torch.ao.quantization.observer
import time:       422 |       2438 |                     torch.ao.quantization.fake_quantize
import time:       247 |        247 |                       torch.ao.quantization.fuser_method_mappings
import time:       221 |        467 |                     torch.ao.quantization.fuse_modules
import time:       425 |        425 |                     torch.ao.quantization.qconfig
import time:       341 |        341 |                     torch.ao.quantization.qconfig_mapping
import time:       150 |        150 |                             torch.ao.nn.quantized.reference.modules.utils
import time:       389 |        538 |                           torch.ao.nn.quantized.reference.modules.conv
import time:       198 |        198 |                           torch.ao.nn.quantized.reference.modules.linear
import time:       350 |        350 |                           torch.ao.nn.quantized.reference.modules.rnn
import time:       238 |        238 |                           torch.ao.nn.quantized.reference.modules.sparse
import time:       134 |       1457 |                         torch.ao.nn.quantized.reference.modules
import time:        95 |       1551 |                       torch.ao.nn.quantized.reference
import time:       217 |        217 |                               torch.ao.nn.sparse.quantized.linear
import time:       114 |        114 |                               torch.ao.nn.sparse.quantized.utils
import time:       245 |        575 |                             torch.ao.nn.sparse.quantized.dynamic.linear
import time:       150 |        725 |                           torch.ao.nn.sparse.quantized.dynamic
import time:       124 |        848 |                         torch.ao.nn.sparse.quantized
import time:        85 |        933 |                       torch.ao.nn.sparse
import time:       198 |        198 |                       torch.ao.quantization.stubs
import time:       326 |       3007 |                     torch.ao.quantization.quantization_mappings
import time:       287 |        287 |                     torch.ao.quantization.quantize
import time:       254 |        254 |                     torch.ao.quantization.quantize_jit
import time:       397 |       7614 |                   torch.ao.quantization
import time:        11 |       7624 |                 torch.ao.quantization.fake_quantize
import time:       135 |       7759 |               torch.quantization.fake_quantize
import time:        91 |         91 |               torch.quantization.fuse_modules
import time:       171 |        171 |               torch.quantization.fuser_method_mappings
import time:       185 |        185 |               torch.quantization.observer
import time:       598 |        598 |               torch.quantization.qconfig
import time:        89 |         89 |               torch.quantization.quant_type
import time:        81 |         81 |               torch.quantization.quantization_mappings
import time:        76 |         76 |               torch.quantization.quantize
import time:        71 |         71 |               torch.quantization.quantize_jit
import time:        69 |         69 |               torch.quantization.stubs
import time:       154 |       9338 |             torch.quantization
import time:       224 |        224 |             torch.quasirandom
import time:        76 |         76 |             torch.multiprocessing._atfork
import time:       341 |        341 |             torch._lobpcg
import time:       231 |        231 |                 torch.masked._docs
import time:       281 |        281 |                       torch.masked.maskedtensor.core
import time:      1530 |       1810 |                     torch.masked.maskedtensor.binary
import time:       379 |        379 |                     torch.masked.maskedtensor.passthrough
import time:        80 |         80 |                       torch.masked.maskedtensor.creation
import time:       628 |        707 |                     torch.masked.maskedtensor.reductions
import time:      1488 |       1488 |                     torch.masked.maskedtensor.unary
import time:        97 |       4479 |                   torch.masked.maskedtensor
import time:        10 |       4488 |                 torch.masked.maskedtensor.core
import time:       476 |       5194 |               torch.masked._ops
import time:       101 |       5294 |             torch.masked
import time:       367 |        367 |             torch.utils.dlpack
import time:       188 |        188 |                           torch._dispatch
import time:       314 |        501 |                         torch._dispatch.python
import time:      1010 |       1010 |                               torch._library.fake_profile
import time:       223 |        223 |                                 torch.utils._mode_utils
import time:      3212 |       3435 |                               torch._subclasses.meta_utils
import time:       230 |        230 |                               torch.utils._stats
import time:      1078 |       1078 |                                 torch.fx.experimental.sym_node
import time:      1399 |       2476 |                               torch._subclasses._fake_tensor_utils
import time:       204 |        204 |                                 torch._custom_op
import time:      2250 |       2454 |                               torch._subclasses.fake_impls
import time:      4048 |      13651 |                             torch._subclasses.fake_tensor
import time:       368 |        368 |                             torch._subclasses.fake_utils
import time:       199 |      14217 |                           torch._subclasses
import time:        10 |      14226 |                         torch._subclasses.meta_utils
import time:       346 |      15073 |                       torch.fx.passes.shape_prop
import time:        41 |         41 |                       pydot
import time:       375 |      15487 |                     torch.fx.passes.graph_drawer
import time:       193 |        193 |                     torch.fx.passes.graph_manipulation
import time:       641 |        641 |                             torch.fx.passes.utils.matcher_utils
import time:       162 |        802 |                           torch.fx.passes.utils.common
import time:       272 |       1074 |                         torch.fx.passes.utils
import time:       495 |        495 |                         torch.fx.passes.tools_common
import time:       554 |       2122 |                       torch.fx.passes.split_utils
import time:       557 |       2679 |                     torch.fx.passes.net_min_base
import time:       359 |        359 |                     torch.fx.passes.operator_support
import time:       118 |        118 |                     torch.fx.passes.param_fetch
import time:       291 |        291 |                     torch.fx.passes.regional_inductor
import time:       463 |        463 |                     torch.fx.passes.reinplace
import time:       212 |        212 |                       torch.fx._utils
import time:       813 |        813 |                         torch._subclasses.functional_tensor
import time:       275 |        275 |                         torch.utils._thunk
import time:       173 |        173 |                         torch.fx.experimental._backward_state
import time:      1266 |       2526 |                       torch.fx.experimental.proxy_tensor
import time:       336 |       3073 |                     torch.fx.passes.runtime_assert
import time:       383 |        383 |                     torch.fx.passes.split_module
import time:       708 |        708 |                     torch.fx.passes.splitter_base
import time:       156 |      23905 |                   torch.fx.passes
import time:       288 |        288 |                     torch.fx.passes.infra.pass_base
import time:       345 |        633 |                   torch.fx.passes.infra.pass_manager
import time:       102 |      24638 |                 torch.fx.passes.infra
import time:        10 |      24647 |               torch.fx.passes.infra.pass_base
import time:       399 |        399 |               torch.export.custom_ops
import time:       229 |        229 |               torch.export._state_dict_utils
import time:       214 |        214 |                     torch.export._tree_utils
import time:      1885 |       1885 |                     torch.export.graph_signature
import time:       252 |        252 |                           torch._custom_op.autograd
import time:       531 |        783 |                         torch._custom_op.impl
import time:       230 |       1012 |                       torch._custom_ops
import time:       515 |        515 |                       torch._export.utils
import time:       609 |        609 |                                   torch._higher_order_ops.schema
import time:       545 |       1154 |                                 torch._higher_order_ops.utils
import time:      1006 |       2159 |                               torch._higher_order_ops.auto_functionalize
import time:       390 |       2549 |                             torch._higher_order_ops.base_hop
import time:       505 |       3053 |                           torch._higher_order_ops._invoke_quant
import time:       158 |        158 |                           torch._higher_order_ops.aoti_call_delegate
import time:       345 |        345 |                           torch._higher_order_ops.associative_scan
import time:       815 |        815 |                           torch._higher_order_ops.cond
import time:       741 |        741 |                             torch._higher_order_ops.invoke_leaf_function
import time:       236 |        236 |                             torch._higher_order_ops.print
import time:       195 |        195 |                                 torch._functorch._aot_autograd
import time:       473 |        668 |                               torch._functorch._aot_autograd.utils
import time:       261 |        928 |                             torch._higher_order_ops.torchbind
import time:       403 |       2307 |                           torch._higher_order_ops.effects
import time:       164 |        164 |                           torch._higher_order_ops.executorch_call_delegate
import time:       600 |        600 |                           torch._higher_order_ops.flat_apply
import time:       276 |        276 |                                 torch.testing._internal
import time:       275 |        551 |                               torch.testing._internal.logging_tensor
import time:      1047 |       1598 |                             torch.utils.checkpoint
import time:       463 |       2060 |                           torch._higher_order_ops.flex_attention
import time:       129 |        129 |                           torch._higher_order_ops.foreach_map
import time:       275 |        275 |                           torch._higher_order_ops.hints_wrap
import time:       355 |        355 |                           torch._higher_order_ops.inline_asm_elementwise
import time:       280 |        280 |                                 torch.utils._debug_mode._utils
import time:       368 |        647 |                               torch.utils._debug_mode._calls
import time:     38551 |      38551 |                               torch.utils._debug_mode._mode
import time:       236 |      39434 |                             torch.utils._debug_mode
import time:      3551 |      42984 |                           torch._higher_order_ops.invoke_subgraph
import time:       466 |        466 |                           torch._higher_order_ops.local_map
import time:       283 |        283 |                           torch._higher_order_ops.map
import time:       316 |        316 |                           torch._higher_order_ops.out_dtype
import time:       233 |        233 |                           torch._higher_order_ops.run_const_graph
import time:       357 |        357 |                             torch._higher_order_ops.partitioner
import time:       463 |        819 |                           torch._higher_order_ops.scan
import time:       240 |        240 |                           torch._higher_order_ops.strict_mode
import time:       365 |        365 |                           torch._higher_order_ops.while_loop
import time:       387 |        387 |                           torch._higher_order_ops.wrap
import time:       205 |      56550 |                         torch._higher_order_ops
import time:        11 |      56560 |                       torch._higher_order_ops.flat_apply
import time:       348 |      58434 |                     torch._export.wrappers
import time:       458 |        458 |                     torch._export.config
import time:       381 |      61370 |                   torch._export
import time:        11 |      61381 |                 torch._export.utils
import time:     13252 |      74633 |               torch.export.decomp_utils
import time:       411 |        411 |                   torch._export.verifier
import time:      1019 |       1429 |                 torch.export.exported_program
import time:      1721 |       3150 |               torch.export.dynamic_shapes
import time:       145 |        145 |                 torch.export._remove_effect_tokens_pass
import time:      1317 |       1462 |               torch.export.unflatten
import time:       311 |     104828 |             torch.export
import time:        89 |         89 |               torch._functorch.batch_norm_replacement
import time:       262 |        262 |                 torch.fx.experimental.const_fold
import time:       478 |        739 |               torch._functorch.eager_transforms
import time:       238 |        238 |               torch._functorch.functional_call
import time:       119 |       1183 |             torch.func
import time:       277 |        277 |             torch.distributed._meta_registrations
import time:       319 |        319 |                       torch.utils._content_store
import time:       150 |        469 |                     torch._prims.debug_prims
import time:       423 |        423 |                     torch._prims.rng_prims
import time:       334 |        334 |                     torch._prims_common.wrappers
import time:     41884 |      43108 |                   torch._prims
import time:     11655 |      54762 |                 torch._decomp.decompositions
import time:       307 |        307 |                   torch.testing._internal.common_dtype
import time:       542 |        542 |                   torch._refs._conversions
import time:      1726 |       1726 |                   torch._refs.fft
import time:       649 |        649 |                   torch._refs.linalg
import time:       107 |        107 |                     torch._refs.nn
import time:      1882 |       1989 |                   torch._refs.nn.functional
import time:      1201 |       1201 |                   torch._refs.special
import time:     13991 |      20403 |                 torch._refs
import time:       384 |      75549 |               torch._decomp
import time:     28508 |     104056 |             torch._meta_registrations
import time:       863 |        863 |               torch.compiler.config
import time:       286 |        286 |                 torch.utils._appending_byte_serializer
import time:       772 |       1057 |               torch.compiler._cache
import time:       472 |       2391 |             torch.compiler
import time:       199 |        199 |                 torch._native.common_utils
import time:       695 |        695 |                   torch._native.registry
import time:       264 |        959 |                 torch._native.dsl_registry
import time:       322 |       1479 |               torch._native.cutedsl_utils
import time:       202 |        202 |               torch._native.ops
import time:       191 |        191 |               torch._native.triton_utils
import time:       221 |       2092 |             torch._native
import time:     12005 |     545460 |           torch
import time:       843 |     546303 |         transformers.modeling_gguf_pytorch_utils
import time:       491 |     550883 |       transformers.tokenization_utils_tokenizers
import time:    163868 |    1642175 |     langchain_core.language_models.base
import time:       497 |        497 |     langchain_core.language_models.chat_model_stream
import time:       276 |        276 |     langchain_core.language_models.model_profile
import time:       201 |        201 |       langchain_core.output_parsers
import time:       846 |        846 |         langchain_core.output_parsers.base
import time:       590 |       1435 |       langchain_core.output_parsers.transform
import time:      1498 |       3133 |     langchain_core.output_parsers.openai_tools
import time:       226 |        226 |     langchain_core.rate_limiters
import time:      6948 |    1657695 |   langchain_core.language_models.chat_models
import time:        81 |         81 |       langchain_core.output_parsers.format_instructions
import time:       112 |        112 |       langchain_core.tools
import time:        83 |         83 |       pydantic.alias_generators
import time:     14075 |      14075 |             ollama._types
import time:       227 |      14302 |           ollama._utils
import time:       776 |      15078 |         ollama._client
import time:      7426 |      22504 |       ollama
import time:       268 |        268 |       langchain_ollama._compat
import time:       377 |        377 |       langchain_ollama._utils
import time:      5800 |      29221 |     langchain_ollama.chat_models
import time:      1662 |       1662 |     langchain_ollama.embeddings
import time:       380 |        380 |         tenacity._utils
import time:       880 |        880 |         tenacity.retry
import time:       382 |        382 |         tenacity.nap
import time:       794 |        794 |         tenacity.stop
import time:       638 |        638 |         tenacity.wait
import time:       254 |        254 |         tenacity.before
import time:       209 |        209 |         tenacity.after
import time:       337 |        337 |         tenacity.before_sleep
import time:        48 |         48 |         tornado
import time:       332 |        332 |           tenacity.asyncio.retry
import time:       379 |        711 |         tenacity.asyncio
import time:      1178 |       5805 |       tenacity
import time:      4232 |      10036 |     langchain_ollama.llms
import time:       503 |      41421 |   langchain_ollama
import time:       703 |        703 |                 openai._types
import time:       359 |        359 |                     openai._utils._utils
import time:       297 |        656 |                   openai._utils._logs
import time:       303 |        303 |                   openai._utils._path
import time:       102 |        102 |                   openai._utils._sync
import time:       190 |        190 |                   openai._utils._proxy
import time:       316 |        316 |                     openai._utils._datetime_parse
import time:        96 |        412 |                   openai._utils._compat
import time:       116 |        116 |                   openai._utils._typing
import time:        78 |         78 |                   openai._utils._streams
import time:       232 |        232 |                     openai._files
import time:       271 |        503 |                   openai._utils._transform
import time:        90 |         90 |                   openai._utils._reflection
import time:       285 |       2730 |                 openai._utils
import time:       566 |        566 |                 openai._compat
import time:       123 |        123 |                 openai._constants
import time:      3182 |       7302 |               openai._models
import time:       634 |        634 |               openai.types.batch_error
import time:       602 |        602 |               openai.types.batch_usage
import time:       299 |        299 |                   openai.types.shared.metadata
import time:       161 |        161 |                     openai.types.shared.reasoning_effort
import time:       713 |        873 |                   openai.types.shared.reasoning
import time:       164 |        164 |                     openai.types.shared.chat_model
import time:       176 |        339 |                   openai.types.shared.all_models
import time:       239 |        239 |                   openai.types.shared.error_object
import time:       241 |        241 |                     openai.types.shared.comparison_filter
import time:       215 |        456 |                   openai.types.shared.compound_filter
import time:       944 |        944 |                   openai.types.shared.responses_model
import time:       207 |        207 |                   openai.types.shared.oauth_error_code
import time:       100 |        100 |                     openai.types.shared.function_parameters
import time:       445 |        544 |                   openai.types.shared.function_definition
import time:       253 |        253 |                   openai.types.shared.response_format_text
import time:       351 |        351 |                   openai.types.shared.custom_tool_input_format
import time:       196 |        196 |                   openai.types.shared.response_format_json_object
import time:       629 |        629 |                   openai.types.shared.response_format_json_schema
import time:       205 |        205 |                   openai.types.shared.response_format_text_python
import time:       191 |        191 |                   openai.types.shared.response_format_text_grammar
import time:       392 |       6111 |                 openai.types.shared
import time:        14 |       6124 |               openai.types.shared.metadata
import time:       217 |        217 |               openai.types.batch_request_counts
import time:       840 |      15718 |             openai.types.batch
import time:       415 |        415 |             openai.types.image
import time:       419 |        419 |             openai.types.model
import time:       274 |        274 |             openai.types.skill
import time:       117 |        117 |               openai.types.video_size
import time:       122 |        122 |               openai.types.video_model
import time:       114 |        114 |               openai.types.video_seconds
import time:       189 |        189 |               openai.types.video_create_error
import time:       388 |        928 |             openai.types.video
import time:       396 |        396 |               openai.types.file_object
import time:       299 |        695 |             openai.types.upload
import time:       364 |        364 |             openai.types.embedding
import time:       178 |        178 |             openai.types.chat_model
import time:       494 |        494 |               openai.types.completion_usage
import time:       394 |        394 |               openai.types.completion_choice
import time:       254 |       1141 |             openai.types.completion
import time:      1619 |       1619 |             openai.types.moderation
import time:       319 |        319 |             openai.types.skill_list
import time:       124 |        124 |             openai.types.audio_model
import time:       103 |        103 |             openai.types.image_model
import time:        93 |         93 |             openai.types.file_content
import time:       186 |        186 |             openai.types.file_deleted
import time:       104 |        104 |             openai.types.file_purpose
import time:       488 |        488 |             openai.types.vector_store
import time:       205 |        205 |             openai.types.deleted_skill
import time:       185 |        185 |             openai.types.model_deleted
import time:        99 |         99 |             openai.types.embedding_model
import time:       601 |        601 |             openai.types.images_response
import time:       180 |        180 |             openai.types.eval_list_params
import time:       130 |        130 |             openai.types.file_list_params
import time:       104 |        104 |             openai.types.moderation_model
import time:       123 |        123 |             openai.types.batch_list_params
import time:       320 |        320 |             openai.types.image_edit_params
import time:       157 |        157 |             openai.types.skill_list_params
import time:       219 |        219 |             openai.types.video_edit_params
import time:       125 |        125 |             openai.types.video_list_params
import time:       120 |        120 |             openai.types.video_model_param
import time:       187 |        187 |                   openai.types.shared_params.metadata
import time:       263 |        263 |                   openai.types.shared_params.reasoning
import time:       357 |        357 |                   openai.types.shared_params.chat_model
import time:       228 |        228 |                     openai.types.shared_params.comparison_filter
import time:       209 |        436 |                   openai.types.shared_params.compound_filter
import time:       135 |        135 |                   openai.types.shared_params.responses_model
import time:       135 |        135 |                   openai.types.shared_params.oauth_error_code
import time:       274 |        274 |                   openai.types.shared_params.reasoning_effort
import time:       124 |        124 |                     openai.types.shared_params.function_parameters
import time:       207 |        331 |                   openai.types.shared_params.function_definition
import time:       236 |        236 |                   openai.types.shared_params.response_format_text
import time:       192 |        192 |                   openai.types.shared_params.custom_tool_input_format
import time:       124 |        124 |                   openai.types.shared_params.response_format_json_object
import time:       167 |        167 |                   openai.types.shared_params.response_format_json_schema
import time:       239 |       3069 |                 openai.types.shared_params
import time:        12 |       3081 |               openai.types.shared_params.metadata
import time:       427 |        427 |                     openai.types.graders.python_grader
import time:      4552 |       4552 |                               openai.types.responses.web_search_tool
import time:      1786 |       1786 |                               openai.types.responses.custom_tool
import time:      1481 |       1481 |                               openai.types.responses.computer_tool
import time:      1025 |       1025 |                               openai.types.responses.function_tool
import time:      2194 |       2194 |                               openai.types.responses.namespace_tool
import time:      2631 |       2631 |                               openai.types.responses.apply_patch_tool
import time:      2435 |       2435 |                               openai.types.responses.file_search_tool
import time:      1724 |       1724 |                               openai.types.responses.tool_search_tool
import time:       539 |        539 |                                     openai.types.responses.inline_skill_source
import time:      1545 |       2084 |                                   openai.types.responses.inline_skill
import time:       809 |        809 |                                   openai.types.responses.skill_reference
import time:       358 |        358 |                                   openai.types.responses.container_network_policy_disabled
import time:       211 |        211 |                                     openai.types.responses.container_network_policy_domain_secret
import time:       524 |        735 |                                   openai.types.responses.container_network_policy_allowlist
import time:      1191 |       5175 |                                 openai.types.responses.container_auto
import time:       361 |        361 |                                   openai.types.responses.local_skill
import time:       570 |        931 |                                 openai.types.responses.local_environment
import time:      2191 |       2191 |                                 openai.types.responses.container_reference
import time:       915 |       9211 |                               openai.types.responses.function_shell_tool
import time:     10861 |      10861 |                               openai.types.responses.web_search_preview_tool
import time:      6089 |       6089 |                               openai.types.responses.computer_use_preview_tool
import time:      3379 |      47362 |                             openai.types.responses.tool
import time:      1102 |       1102 |                               openai.types.responses.response_error
import time:      1317 |       1317 |                               openai.types.responses.response_usage
import time:       751 |        751 |                                 openai.types.responses.response_input_file
